"";"product";"dietgroup";"SQ_g";"SQ_kcal";"SQ_prot";"SQ_fat";"DGErec_g";"DGErec_kcal";"DGErec_prot";"DGErec_fat";"kcal_data";"prot_data";"fat_data"
"91";"Wine";"Alcohol, sugar and honey";58,0841234582071;39,4972039515808;0;0;29,4431994987747;20,0213756591668;0;0;"0.68";"0";"0"
"92";"Beer";"Alcohol, sugar and honey";238,404495743976;143,042697446385;4,52968541913553;0,715213487231927;120,848705492565;72,509223295539;2,29612540435873;0,362546116477695;"0.6";"0.019";"0.003"
"93";"Beverages. Fermented";"Alcohol, sugar and honey";0,896485068056514;0,421347981986562;0,000896485068056514;0;0,45443379593139;0,213583884087753;0,00045443379593139;0;"0.47";"0.001";"0"
"94";"Beverages. Alcoholic";"Alcohol, sugar and honey";26,9166942254055;79,4042479649463;0;0;13,6442378870771;40,2505017668774;0;0;"2.95";"0";"0"
"111";"Milk - Excluding Butter";"Milk";660,964891876468;317,263148100704;21,8118414319234;9,91447337814702;337,459063654165;161,980350553999;11,1361491005874;5,06188595481248;"0.48";"0.033";"0.015"
"112";"Butter. Ghee";"Milk";13,0203903394328;93,3561987337331;0,117183513054895;10,55953656528;6,64762801528334;47,6634928695815;0,05982865213755;5,39122632039479;"7.17";"0.009";"0.811"
"113";"Eggs";"Meat, sausages, fish, eggs";30,7767393946865;42,7796677586143;3,29311111523146;3,01612046067928;14,2550108677073;19,8144651061132;1,52528616284469;1,39699106503532;"1.39";"0.107";"0.098"
"115";"Bovine Meat";"Meat, sausages, fish, eggs";30,7309394556216;46,0964091834324;5,68522379929;2,42774421699411;14,233797488969;21,3506962334535;2,63325253545926;1,12447000162855;"1.5";"0.185";"0.079"
"116";"Mutton & Goat Meat";"Meat, sausages, fish, eggs";1,65774926947715;4,3598805787249;0,223796151379415;0,37796683344079;0,767827726949218;2,01938692187644;0,103656743138144;0,175064721744422;"2.63";"0.135";"0.228"
"117";"Pigmeat";"Meat, sausages, fish, eggs";117,929694494607;384,450804052418;12,9722663944067;36,5582052933281;54,622065550461;178,067933694503;6,00842721055071;16,9328403206429;"3.26";"0.11";"0.31"
"118";"Poultry Meat";"Meat, sausages, fish, eggs";42,6442657066697;52,026004162137;5,24524468192037;3,28360845941357;19,7517502844673;24,0971353470501;2,42946528498948;1,52088477190398;"1.22";"0.123";"0.077"
"119";"Meat. Other";"Meat, sausages, fish, eggs";5,796130577846;7,30312452808596;0,950565414766744;0,34776783467076;2,68462176315241;3,38262342157203;0,440277969156995;0,161077305789144;"1.26";"0.164";"0.06"
"120";"Offals. Edible";"Meat, sausages, fish, eggs";1,73523261660797;1,82199424743836;0,319282801455866;0,0433808154151991;0,803716062657933;0,843901865790829;0,14788375552906;0,0200929015664483;"1.05";"0.184";"0.025"
"121";"Fats. Animals. Raw";"Meat, sausages, fish, eggs";18,0042304950424;152,495832293009;0,360084609900848;16,7439343603894;8,33910629973514;70,6322303587566;0,166782125994703;7,75536885875368;"8.47";"0.02";"0.93"
"123";"Meat Meal";"Meat, sausages, fish, eggs";0;0;0;0;0;0;0;0;"2.42";"0.206";"0.169"
"124";"Pet food";"Meat, sausages, fish, eggs";13,8374900580919;NA;NA;NA;6,40917702912826;NA;NA;NA;NA;NA;NA
"125";"Honey";"Alcohol, sugar and honey";2,5945414936688;7,88740614075316;0,00778362448100641;0;1,31518904405788;3,99817469393597;0,00394556713217365;0;"3.04";"0.003";"0"
"127";"Fish. Seafood";"Meat, sausages, fish, eggs";25,8049342865936;16,5151579434199;2,65790823151915;0,56770855430506;11,9521959093358;7,6494053819749;1,23107617866159;0,262948310005387;"0.64";"0.103";"0.022"
"131";"Sum";"NA";2124,11538067561;3173,58677109456;91,9440413105464;147,656790837253;2124,11538067561;3075,77566017883;92,0320963893173;107,807880234603;"NA";"NA";"NA"
