;product;Item_code;dietgroup;SQ_g;SQ_kcal;SQ_prot;SQ_fat;DGErec_g;DGErec_kcal;DGErec_prot;DGErec_fat;kcal_data;prot_data;fat_data
74;Palmkernel Oil;2576;Vegetable oils;0;0;0;0;0;0;0;0;8,84;0;1
75;Palm Oil;2577;Vegetable oils;7,641471305;67,55060633;0;7,641471305;5,566889558;49,21130369;0;5,566889558;8,84;0;1
76;Coconut Oil;2578;Vegetable oils;0,12639536;1,117334979;0;0,12639536;0,092247483;0,815467749;0;0,092247483;8,84;0;1
77;Sesameseed Oil;2579;Vegetable oils;0,401621324;3,550332507;0;0,401621324;0,302045781;2,670084701;0;0,302045781;8,84;0;1
78;Olive Oil;2580;Vegetable oils;1,986796414;17,5632803;0;1,986796414;1,452219192;12,83761766;0;1,452219192;8,84;0;1
79;Ricebran Oil;2581;Vegetable oils;9,69E-05;0,000856527;0;9,69E-05;7,08E-05;0,000626123;0;7,08E-05;8,84;0;1
80;Maize Germ Oil;2582;Vegetable oils;0,390287197;3,450138826;0;0,390287197;0,292406909;2,584877077;0;0,292406909;8,84;0;1
81;Oilcrops Oil. Other;2586;Vegetable oils;4,084123885;36,10365514;0;4,084123885;3,033425991;26,81548576;0;3,033425991;8,84;0;1
91;Wine;2655;Alcohol, sugar and honey;61,1953177;41,61281603;0;0;29,2513926;19,89094697;0;0;0,68;0;0
92;Beer;2656;Alcohol, sugar and honey;251,0389327;150,6233596;4,769739721;0,753116798;120,06144;72,03686399;2,28116736;0,36018432;0,6;0,019;0,003
93;Beverages. Fermented;2657;Alcohol, sugar and honey;0,944054275;0,443705509;0,000944054;0;0,4514734;0,212192498;0,000451473;0;0,47;0,001;0
94;Beverages. Alcoholic;2658;Alcohol, sugar and honey;28,34687428;83,62327911;0;0;13,55535288;39,988291;0;0;2,95;0;0
111;Milk - Excluding Butter;2848;Milk;671,5884483;322,3624552;22,16241879;10,07382672;335,2606961;160,9251341;11,06360297;5,028910441;0,48;0,033;0,015
112;Butter. Ghee;2740;Milk;13,30044931;95,36422156;0,119704044;10,78666439;6,604322229;47,35299038;0,0594389;5,356105328;7,17;0,009;0,811
113;Eggs;2744;Meat, sausages, fish, eggs;31,18182413;43,34273555;3,336455182;3,055818765;14,87455295;20,6756286;1,591577165;1,457706189;1,39;0,107;0,098
115;Bovine Meat;2731;Meat, sausages, fish, eggs;33,58249921;50,37374881;6,212762354;2,653017438;14,85241761;22,27862641;2,747697257;1,173340991;1,5;0,185;0,079
116;Mutton & Goat Meat;2732;Meat, sausages, fish, eggs;1,849348631;4,8637869;0,249662065;0,421651488;0,80119856;2,107152212;0,108161806;0,182673272;2,63;0,135;0,228
117;Pigmeat;2733;Meat, sausages, fish, eggs;131,6508211;429,1816769;14,48159033;40,81175455;56,9960145;185,8070073;6,269561595;17,66876449;3,26;0,11;0,31
118;Poultry Meat;2734;Meat, sausages, fish, eggs;48,08956988;58,66927525;5,915017095;3,70289688;20,6101881;25,14442949;2,535053137;1,586984484;1,22;0,123;0,077
119;Meat. Other;2735;Meat, sausages, fish, eggs;6,372649367;8,029538203;1,045114496;0,382358962;2,801299061;3,529636817;0,459413046;0,168077944;1,26;0,164;0,06
120;Offals. Edible;2736;Meat, sausages, fish, eggs;1,901114759;1,996170497;0,349805116;0,047527869;0,838646651;0,880578984;0,154310984;0,020966166;1,05;0,184;0,025
121;Fats. Animals. Raw;2737;Meat, sausages, fish, eggs;19,63342831;166,2951378;0,392668566;18,25908833;8,701535154;73,70200275;0,174030703;8,092427693;8,47;0,02;0,93
123;Meat Meal;2749;Meat, sausages, fish, eggs;0;0;0;0;0;0;0;0;2,42;0,206;0,169
125;Honey;2745;Alcohol, sugar and honey;2,759481017;8,38882229;0,008278443;0;1,306621282;3,972128697;0,003919864;0;3,04;0,003;0
127;Fish. Seafood;2960;Meat, sausages, fish, eggs;30,41892429;19,46811154;3,133149201;0,669216334;12,47165453;7,9818589;1,284580417;0,2743764;0,64;0,103;0,022
131;Sum;NA;NA;2390,698465;3589,293753;104,8751552;159,1850385;2110,277891;3072,123569;92,16650626;108,5723462;NA;NA;NA
;;;;;;;;;;;;;;
