;product;Item_code;dietgroup;SQ_g;SQ_kcal;SQ_prot;SQ_fat;DGErec_g;DGErec_kcal;DGErec_prot;DGErec_fat;kcal_data;prot_data;fat_data
113;Eggs;2744;Meat, sausages, fish, eggs;24,60145721;34,19602552;2,632355922;2,410942807;14,87455295;20,6756286;1,591577165;1,457706189;1,39;0,107;0,098
115;Bovine Meat;2731;Meat, sausages, fish, eggs;26,81041687;40,2156253;4,959927121;2,118022933;14,85241761;22,27862641;2,747697257;1,173340991;1,5;0,185;0,079
116;Mutton & Goat Meat;2732;Meat, sausages, fish, eggs;1,474045898;3,876740712;0,198996196;0,336082465;0,80119856;2,107152212;0,108161806;0,182673272;2,63;0,135;0,228
117;Pigmeat;2733;Meat, sausages, fish, eggs;103,8675458;338,6081992;11,42543004;32,19893919;56,9960145;185,8070073;6,269561595;17,66876449;3,26;0,11;0,31
118;Poultry Meat;2734;Meat, sausages, fish, eggs;37,98054352;46,33626309;4,671606853;2,924501851;20,6101881;25,14442949;2,535053137;1,586984484;1,22;0,123;0,077
119;Meat. Other;2735;Meat, sausages, fish, eggs;5,084623957;6,406626186;0,833878329;0,305077437;2,801299061;3,529636817;0,459413046;0,168077944;1,26;0,164;0,06
120;Offals. Edible;2736;Meat, sausages, fish, eggs;1,505279409;1,580543379;0,276971411;0,037631985;0,838646651;0,880578984;0,154310984;0,020966166;1,05;0,184;0,025
121;Fats. Animals. Raw;2737;Meat, sausages, fish, eggs;15,62097524;132,3096603;0,312419505;14,52750697;8,701535154;73,70200275;0,174030703;8,092427693;8,47;0,02;0,93
123;Meat Meal;2749;Meat, sausages, fish, eggs;0;0;0;0;0;0;0;0;2,42;0,206;0,169
125;Honey;2745;Alcohol, sugar and honey;2,435787396;7,404793684;0,007307362;0;1,306621282;3,972128697;0,003919864;0;3,04;0,003;0
127;Fish. Seafood;2960;Meat, sausages, fish, eggs;21,67266511;13,87050567;2,232284506;0,476798632;12,47165453;7,9818589;1,284580417;0,2743764;0,64;0,103;0,022
15;Sum;NA;NA;1775,553951;2646,043715;75,11125208;128,0322525;2110,277891;3072,123569;92,16650626;108,5723462;NA;NA;NA
