"";"X";"country";"product";"item_code";"com_group";"product_group";"diet_group";"DGE_group"
"73";73;"ARM";"Cottonseed Oil";2575;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"74";74;"ARM";"Palmkernel Oil";2576;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"75";75;"ARM";"Palm Oil";2577;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"76";76;"ARM";"Coconut Oil";2578;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"77";77;"ARM";"Sesameseed Oil";2579;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"78";78;"ARM";"Olive Oil";2580;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"79";79;"ARM";"Ricebran Oil";2581;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"80";80;"ARM";"Maize Germ Oil";2582;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"81";81;"ARM";"Oilcrops Oil, Other";2586;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"82";82;"ARM";"Soyabean Cake";2590;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"83";83;"ARM";"Groundnut Cake";2591;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"84";84;"ARM";"Sunflowerseed Cake";2592;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"85";85;"ARM";"Rape and Mustard Cake";2593;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"86";86;"ARM";"Cottonseed Cake";2594;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"87";87;"ARM";"Palmkernel Cake";2595;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"88";88;"ARM";"Copra Cake";2596;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"89";89;"ARM";"Sesameseed Cake";2597;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"90";90;"ARM";"Oilseed Cakes, Other";2598;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"91";91;"ARM";"Wine";2655;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"92";92;"ARM";"Beer";2656;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"93";93;"ARM";"Beverages, Fermented";2657;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"94";94;"ARM";"Beverages, Alcoholic";2658;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"95";95;"ARM";"Alcohol, Non-Food";2659;"Ethanol";"Crop products";"Ethanol";"excluded"
"96";96;"ARM";"Cotton lint";2661;"Fibre crops";"Crop products";"Fibre crops";"excluded"
"97";97;"ARM";"Cattle";866;"Live animals";"Livestock";"Live animals";"excluded"
"98";98;"ARM";"Buffaloes";946;"Live animals";"Livestock";"Live animals";"excluded"
"99";99;"ARM";"Sheep";976;"Live animals";"Livestock";"Live animals";"excluded"
"100";100;"ARM";"Goats";1016;"Live animals";"Livestock";"Live animals";"excluded"
"101";101;"ARM";"Pigs";1034;"Live animals";"Livestock";"Live animals";"excluded"
"102";102;"ARM";"Poultry Birds";2029;"Live animals";"Livestock";"Live animals";"excluded"
