
Com.Code;Item.Code;Item;Unit;Group;Moisture;Feedtype;Com.Group;120;Source_nutr (Food_consumption_table_FAO);Kcal;G_prot;G_fat
c071;2573;Sunflowerseed Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OIL OF SUNFLOWER SEED';884;0;100
c072;2574;Rape and Mustard Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OIL OF RAPESEED';884;0;100
c073;2575;Cottonseed Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OIL OF COTTON SEED';884;0;100
c074;2576;Palmkernel Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OIL OF PALM KERNELS';884;0;100
c075;2577;Palm Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'PALM OIL';884;0;100
c076;2578;Coconut Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OIL OF COCONUTS';884;0;100
c077;2579;Sesameseed Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OIL OF SESAME SEED';884;0;100
c078;2580;Olive Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OLIVE OIL';884;0;100
c079;2581;Ricebran Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OIL OF RICE BRAN';884;0;100
c080;2582;Maize Germ Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OIL OF MAIZE';884;0;100
c081;2586;Oilcrops Oil. Other;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;'OIL OF VEGETABLE ORIGIN NES';884;0;100
c082;2590;Soyabean Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;'CAKE OF SOYA BEANS';261;46;5
c083;2591;Groundnut Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;'CAKE OF GROUNDNUTS';363;41.7;7.6
c084;2592;Sunflowerseed Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;NA;Na;Na;Na
c085;2593;Rape and Mustard Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;NA;Na;Na;Na
c086;2594;Cottonseed Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;NA;Na;Na;Na
c087;2595;Palmkernel Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;NA;Na;Na;Na
c088;2596;Copra Cake;tonnes;Crop products;0.12;Feed crops;Oil cakes;TRUE;NA;Na;Na;Na
c089;2597;Sesameseed Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;'CAKE OF SESAME SEED';376;40.7;3.4
c090;2598;Oilseed Cakes. Other;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;NA;Na;Na;Na
