"";"x"
"1049";148,026068374011
"1050";27835,8060322987
"1051";0
"1052";0
"1053";0,0665071368028574
"1054";0
"1055";0
"1056";0
"1057";19,8715867142747
"1058";119,778906461329
"1059";122,474795474063
"1060";29406,4875119702
"1061";1500,96309337953
"1062";907,601539412545
"1063";0
"1064";387,282684484852
"1065";0
"1066";110,969867238021
"1067";0
"1068";0
"1069";1637,79333097149
"1070";666,663052517828
"1071";11672,454752461
"1072";10342,340530707
"1073";103182,87516357
"1074";22802,5628896948
"1075";2317,73652710133
"1076";4987,61734149543
"1077";7407,36676667177
"1078";2421,05483801047
"1079";0,0181114303231348
"1080";38851,7034893892
"1081";2181,64817508157
"1082";26,3308272307839
"1083";11246,3518865166
"1084";171603,840037471
"1085";0
"1086";0
"1087";0
"1088";0
"1089";421,807073607796
"1090";101,209755928007
"1091";6,12209143737944
"1092";1888,84009820454
"1093";0
"1094";0
"1095";0
"1096";0
"1097";0
"1098";0
"1099";0
"1100";0
"1101";0
"1102";0
"1103";0
"1104";0
"1105";0
"1106";0
"1107";4436,38807675246
"1108";39363,484003227
"1109";804,458074600017
"1110";1,87794049069929
"1111";9646,34067526468
"1112";905,903536772695
"1113";0
"1114";0
"1115";94,1581530584229
"1116";0,0066993541479772
"1117";14,5110949596054
"1118";338,420865024203
"1119";0
"1120";2138,20517488897
"1121";1042,56429848981
"1122";0
"1123";0
"1124";0
"1125";0
"1126";0
"1127";0
"1128";0
"1129";0
"1130";0
"1131";12347,023159899
"1132";7694,46874917377
"1133";342,923647388335
"1134";1446,93104622852
"1135";0
"1136";0
"1137";0
"1138";0
"1139";0
"1140";0
"1141";0
"1142";0
"1143";0
"1144";0
"1145";0
"1146";0
"1147";0
"1148";0
"1149";0
"1150";0
"1151";131137,948695931
"1152";67,1113834423065
"1153";319,209842872821
"1154";0
"1155";0
"1156";0
"1157";0
"1158";0
"1159";0
"1160";0
"1161";0
"1162";0
"1163";0
"1164";0
"1165";270,792875147
"1166";0
"1167";116,548775396293
"1168";0
"1169";0
"1170";0
"1171";0
"1172";0
"1173";0
"1174";0
"1175";0
"1176";0
"1177";0
"1178";0
"1179";0
"1180";0
"1181";0
"1182";0
"1183";0
"1184";0
"1185";0
"1186";0
"1187";0
"1188";0
"1189";0
"1190";0
"1191";0
"1192";0
"1193";0
"1194";0
"1195";0
"1196";0
"1197";0
"1198";0
"1199";0
"1200";0
"1201";0
"1202";0
"1203";0
"1204";0
"1205";0
"1206";0
"1207";0
"1208";0
"1209";0
"1210";0
"1211";0
"1212";0
"1213";0
"1214";0
"1215";0
"1216";0
"1217";0
"1218";0
"1219";0
"1220";0
"1221";0
"1222";0
"1223";0
"1224";0
"1225";0
"1226";0
"1227";0
"1228";0
"1229";0
"1230";0
"1231";0
"1232";0
"1233";0
"1234";0
"1235";0
"1236";0
"1237";0
"1238";0,610346999803323
"1239";0
"1240";0
"1241";0
"1242";0
"1243";0
"1244";0
"1245";0
"1246";0
"1247";0
"1248";0
"1249";0
"1250";0
"1251";0
"1252";0
"1253";0
"1254";0
"1255";0
"1256";0
"1257";0
"1258";0
"1259";0
"1260";0
"1261";0
"1262";7,76963405514711
"1263";0
"1264";0,000144806803915443
"1265";0
"1266";0
"1267";0
"1268";0
"1269";0
"1270";0
"1271";0
"1272";0
"1273";0
"1274";0
"1275";0
"1276";0
"1277";0
"1278";0
"1279";0
"1280";0
"1281";0
"1282";0
"1283";0
"1284";0
"1285";0
"1286";0
"1287";0
"1288";0
"1289";0
"1290";0
"1291";0
"1292";0
"1293";0
"1294";0
"1295";0
"1296";0
"1297";29,7807190120432
"1298";0
"1299";0
"1300";0
"1301";0
"1302";0,0529356495094763
"1303";0
"1304";0
"1305";0
"1306";0
"1307";0
"1308";0
"1309";0
"1310";0,0465140266483851
"1311";0
"1312";0
"1313";0
"1314";0
"1315";0
"1316";0
"1317";0
"1318";0
"1319";0,00131375910659066
"1320";0
"1321";2,64837232044077e-06
"1322";1,40542742442919e-05
"1323";0
"1324";1,95481239087613e-07
"1325";0
"1326";0
"1327";0
"1328";0
"1329";0,153501361846455
"1330";0
"1331";0
"1332";0
"1333";2,18136873526433
"1334";0
"1335";0,00309947681158407
"1336";0
"1337";1,99594159301197
"1338";0
"1339";0
"1340";0
"1341";0
"1342";0,00208929340028402
"1343";0
"1344";3,17569887894869
"1345";0
"1346";0
"1347";0
"1348";0
"1349";0
"1350";0
"1351";0,00953818892420129
"1352";0,0418039950940775
"1353";0
"1354";0
"1355";0
"1356";0
"1357";0
"1358";0
"1359";0
"1360";0
"1361";0
"1362";0
"1363";0
"1364";0
"1365";0
"1366";0
"1367";0,000395415494292421
"1368";0
"1369";0
"1370";0
"1371";0
"1372";0
"1373";0
"1374";0
"1375";0
"1376";1,46762488631049e-07
"1377";0
"1378";0,0113942027340439
"1379";0
"1380";0
"1381";0
"1382";0
"1383";0
"1384";0
"1385";0
"1386";0
"1387";0
"1388";0
"1389";0
"1390";0
"1391";0,000275362122657664
"1392";0,519117293803976
"1393";0
"1394";0,000440037354354074
"1395";0
"1396";0
"1397";0
"1398";0
"1399";0
"1400";0
"1401";0
"1402";0
"1403";0
"1404";0
"1405";0
"1406";0
"1407";0
"1408";0
"1409";0
"1410";0
"1411";0,599625854192858
"1412";0,114969795858446
"1413";0
"1414";0
"1415";0
"1416";0
"1417";0
"1418";0
"1419";0
"1420";0
"1421";0
"1422";0
"1423";0
"1424";0
"1425";0,0445209037934687
"1426";0
"1427";0
"1428";0
"1429";0
"1430";0
"1431";0
"1432";6,23693066883046
"1433";0
"1434";1,06649258847949
"1435";0
"1436";0
"1437";0
"1438";0
"1439";0,448573695569937
"1440";0
"1441";0
"1442";0
"1443";0
"1444";0
"1445";0
"1446";0
"1447";0
"1448";0
"1449";0
"1450";0,517551603854924
"1451";0
"1452";0,000260577433744068
"1453";0
"1454";0
"1455";0
"1456";0
"1457";0
"1458";0
"1459";0
"1460";0
"1461";0
"1462";0
"1463";0
"1464";0
"1465";0
"1466";0
"1467";0
"1468";0
"1469";0
"1470";0
"1471";0
"1472";0
"1473";0
"1474";364,691925725991
"1475";0
"1476";0
"1477";0
"1478";0
"1479";0
"1480";0
"1481";0
"1482";0
"1483";0
"1484";0
"1485";0
"1486";0
"1487";0
"1488";0
"1489";0
"1490";0
"1491";0
"1492";0
"1493";0
"1494";0
"1495";0
"1496";0
"1497";0
"1498";32,4418544896602
"1499";9,87457858271684
"1500";0
"1501";0
"1502";0
"1503";0
"1504";0
"1505";0
"1506";0
"1507";0
"1508";0
"1509";0
"1510";0
"1511";0
"1512";0
"1513";0
"1514";0
"1515";0
"1516";0
"1517";0
"1518";0
"1519";0
"1520";0
"1521";0
"1522";16,0750782949056
"1523";0,0208058834971924
"1524";81,3047475780493
"1525";0
"1526";0
"1527";0
"1528";0
"1529";0
"1530";0
"1531";0
"1532";0
"1533";0
"1534";0
"1535";0
"1536";0
"1537";0
"1538";0
"1539";0
"1540";0
"1541";0,297419329337049
"1542";0
"1543";0
"1544";0
"1545";0
"1546";0
"1547";0
"1548";0
"1549";0
"1550";0
"1551";0
"1552";0
"1553";0
"1554";0
"1555";0
"1556";0
"1557";0
"1558";0
"1559";0
"1560";0
"1561";0
"1562";0
"1563";0
"1564";0
"1565";0
"1566";0
"1567";0
"1568";0
"1569";0
"1570";0
"1571";0
"1572";0
"1573";0
"1574";0
"1575";0
"1576";0
"1577";0
"1578";0
"1579";0
"1580";0
"1581";0
"1582";0
"1583";0
"1584";0
"1585";0
"1586";0
"1587";0
"1588";0
"1589";0
"1590";0
"1591";0
"1592";0
"1593";0
"1594";0
"1595";0
"1596";0
"1597";0
"1598";0
"1599";0
"1600";0
"1601";0
"1602";0
"1603";0
"1604";0
"1605";0
"1606";0
"1607";0
"1608";0
"1609";0
"1610";0
"1611";0
"1612";0
"1613";0
"1614";0
"1615";0
"1616";0
"1617";0
"1618";0
"1619";0
"1620";0
"1621";0
"1622";0
"1623";0
"1624";0
"1625";0
"1626";0
"1627";0
"1628";0
"1629";0
"1630";0
"1631";0
"1632";0
"1633";0
"1634";0
"1635";0
"1636";0
"1637";0
"1638";0
"1639";0
"1640";0
"1641";0
"1642";0
"1643";0
"1644";0
"1645";0
"1646";0
"1647";0
"1648";0
"1649";0
"1650";0
"1651";0
"1652";0
"1653";0
"1654";0
"1655";0
"1656";0
"1657";0
"1658";0
"1659";0
"1660";0
"1661";0
"1662";0
"1663";0
"1664";0
"1665";0
"1666";0
"1667";0
"1668";0
"1669";0
"1670";0
"1671";0
"1672";0
"1673";0
"1674";0
"1675";0
"1676";0
"1677";0
"1678";0
"1679";0
"1680";0
"1681";0
"1682";0
"1683";0
"1684";0
"1685";0
"1686";0
"1687";0
"1688";0
"1689";0
"1690";0
"1691";1,16867627718502
"1692";3,19966280521767
"1693";0
"1694";0
"1695";0
"1696";0
"1697";0
"1698";0
"1699";0,17391472385998
"1700";0
"1701";0
"1702";0
"1703";0
"1704";0
"1705";0
"1706";0
"1707";0
"1708";0
"1709";0
"1710";0
"1711";0
"1712";0
"1713";0
"1714";0
"1715";0
"1716";3,81987462400899
"1717";0
"1718";0
"1719";0
"1720";0
"1721";0
"1722";0
"1723";23,5828727709864
"1724";0
"1725";0
"1726";0
"1727";0
"1728";0
"1729";0
"1730";7,22667708222564
"1731";16,5471931173722
"1732";0
"1733";0
"1734";4,43592979679717
"1735";0
"1736";0
"1737";0
"1738";0
"1739";0
"1740";0,813695696953296
"1741";0
"1742";1,08476512366431
"1743";0
"1744";0
"1745";0
"1746";0
"1747";0
"1748";0
"1749";0
"1750";0
"1751";0
"1752";0
"1753";0
"1754";0
"1755";0
"1756";0
"1757";870,993696420917
"1758";0
"1759";0
"1760";0
"1761";0
"1762";0
"1763";0
"1764";0
"1765";0
"1766";4,24117903335533e-08
"1767";0
"1768";0
"1769";0
"1770";0
"1771";0
"1772";0
"1773";0
"1774";0
"1775";0
"1776";0
"1777";0
